marca,produto,preco_velho_reais,preco_velho_centavos,preco_atual_reais,preco_atual_centavos,nota_avaliacao,num_avaliacoes,_fonte,_site,_data_coleta,_pagina,_ordem
EVOLTENN,Tenis Academia Corrida Original Caminhada Evoltenn Crossfit,78,90,74,95,4.5,(4060),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,15
PLAZA,Kit 2 Pares Tênis Casual Esportivo Masculino Relogio Digital,,,149,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,16
,Tenis Feminino Casual Nyc Shoes Masculino Moda Adulto,109,90,76,93,4.5,(4555),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,17
,Tenis Masculino Feminino Academia Leve Macio Confortável,,,68,99,4.5,(1979),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,18
,Tênis Bolsonaro : Liberdade Style Super Confortável ,,,169,90,4.8,(165),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,19
OLYMPIKUS,Olympikus CORRIDA Voa 2 Masculino Adultos,,,261,,4.8,(528),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,20
UNDER ARMOUR,Tênis Masculino E Feminino Charged Slight 3 Under Armour,359,99,304,99,4.9,(213),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,21
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,,,69,90,4.5,(2416),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,22
ASCENSION,Tenis Masculino Leve Confotavel Dia A Dia Para Treino,,,109,90,4.5,(200),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,23
OLDSEN,Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top,,,78,97,4.4,(3015),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,24
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,139,99,4.7,(2949),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,25
OLYMPIKUS,Olympikus Neblina Masculino Adultos,359,90,266,32,4.7,(72),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,26
REEBOK,Tênis Masculino Royal Complete Sport Reebok *oferta*,329,99,241,99,4.9,(48),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,27
,Tênis Esporte Masculino Pronta Entrega Barato,,,66,90,4.4,(1515),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,28
,Tênis Yezy 350 Masculino- Promoção,,,299,90,4.7,(12),https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,29
,Tênis Esportivo Masculino Academia Corrida Lançamento Damand,,,69,90,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,30
ON RUNNING,Tênis On Running Cloudsurfer Next Masculino,,,1.149,,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,31
OLYMPIKUS,Olympikus Subverse Masculino Adultos,349,99,297,49,,,https://lista.mercadolivre.com.br/tenis-corrida-masculino,MERCADO LIVRE,2024-08-12 16:00:24.235749-03:00,2,32
